Cód.,Ano Letivo,Serie,Andamento adesao,Situacao,Matricula,Escola
4,2019,9,CONCLUIDA,Dep.neste ano,120854750354,E M LEVI CARNEIRO
4,2022,3,CONCLUIDA,Aprovado,201617820373376,CE BALTAZAR BERNARDINO
4,2023,3,CONCLUIDA,Não avaliado,201617820373376,CE BALTAZAR BERNARDINO
4,2024,3,CONCLUIDA,Não avaliado,201617820373376,CE BALTAZAR BERNARDINO
5,2019,9,CONCLUIDA,Dep.neste ano,119129484277,E M PAULO FREIRE
5,2022,3,CONCLUIDA,Aprovado,201032200147952,CE HILARIO RIBEIRO
20,2019,9,VALOR DEPOSITADO,Aprovado,119577659763,E M LEVI CARNEIRO
20,2020,1,VALOR DEPOSITADO,Aprovado,202032150575010,CE MANUEL DE ABREU
20,2021,2,CONCLUIDA,Reprovado,202032150575010,CE MANUEL DE ABREU
20,2022,2,CONCLUIDA,Transferido,202032150575010,CE MANUEL DE ABREU
20,2023,3,VALOR DEPOSITADO,Aprovado,202032150575010,CE MANUEL DE ABREU
28,2019,9,VALOR DEPOSITADO,Aprovado,119207069929,E M RACHIDE DA GLORIA SALIM SAKER
28,2020,1,CONCLUIDA,Reprovado,20201005125,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
28,2022,2,CONCLUIDA,Não avaliado,202219340655994,CE DAVID CAPISTRANO
28,2023,3,CONCLUIDA,Não avaliado,202219340655994,CE DAVID CAPISTRANO
37,2019,1,CONCLUIDA,Dep.neste ano,20191024381,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
37,2020,2,VALOR DEPOSITADO,Aprovado,20191024381,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
37,2021,2,CONCLUIDA,Reprovado,20191024381,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
37,2022,2,CONCLUIDA,Transferido,20191024381,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
38,2019,1,EMAIL NAO CONFIRMADO,Reprovado,20191023464,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
38,2020,2,EMAIL NAO CONFIRMADO,Transferido,20191023464,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
39,2019,9,VALOR DEPOSITADO,Aprovado,116572855960,E M JOSE DE ANCHIETA
39,2023,3,ELEGIVEL,Não avaliado,202332130441355,CE JOSE BONIFACIO
61,2019,9,VALOR DEPOSITADO,Aprovado,121974871753,E M RACHIDE DA GLORIA SALIM SAKER
61,2020,1,VALOR DEPOSITADO,Aprovado,20201001180,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
61,2021,2,VALOR DEPOSITADO,Aprovado,20201001180,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
61,2022,2,CONCLUIDA,Não avaliado,20201001180,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
61,2023,3,CONCLUIDA,Não avaliado,20201001180,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
66,2019,1,PRE-INSCRITO,Reprovado,20191023437,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
66,2020,2,PRE-INSCRITO,Aprovado,20191023437,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
66,2021,2,PRE-INSCRITO,Reprovado,20191023437,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
66,2022,2,PRE-INSCRITO,Transferido,20191023437,INSTITUTO FEDERAL DE EDUCACAO CIENCIA E TECNOLOGIA DO RIO DE JANEIRO CAMPUS NITEROI
68,2019,9,VALOR DEPOSITADO,Aprovado,119037092704,E M MAESTRO HEITOR VILLA LOBOS
68,2020,1,VALOR DEPOSITADO,Aprovado,202031881510759,LICEU NILO PECANHA
68,2021,2,CONCLUIDA,Abandonou,202031881510759,LICEU NILO PECANHA
68,2022,3,CONCLUIDA,Transferido,202031881510759,CE MANUEL DE ABREU
69,2019,9,VALOR DEPOSITADO,Aprovado,110868530670,E M LEVI CARNEIRO
69,2020,1,VALOR DEPOSITADO,Aprovado,202031910525119,CE PAULO ASSIS RIBEIRO
69,2022,2,CONCLUIDA,Não avaliado,202031910525119,CE PAULO ASSIS RIBEIRO
69,2023,2,CONCLUIDA,Não avaliado,202031910525119,CE PAULO ASSIS RIBEIRO
75,2019,9,VALOR DEPOSITADO,Aprovado,110338809065,E M MAESTRO HEITOR VILLA LOBOS
75,2020,1,VALOR DEPOSITADO,Aprovado,200932300180163,CE AURELINO LEAL
75,2021,2,VALOR DEPOSITADO,Aprovado,200932300180163,CE AURELINO LEAL
75,2022,1,CONCLUIDA,Não avaliado,200932300180163,CE MANUEL DE ABREU
89,2019,9,CONCLUIDA,Reprovado,116443800051,E M RACHIDE DA GLORIA SALIM SAKER
89,2020,9,VALOR DEPOSITADO,Aprovado,116443800051,E M RACHIDE DA GLORIA SALIM SAKER
89,2021,1,CONCLUIDA,Reprovado,202119340634753,CE DAVID CAPISTRANO
89,2022,2,CONCLUIDA,Não avaliado,202119340634753,CE DAVID CAPISTRANO
89,2023,2,CONCLUIDA,Não avaliado,202119340634753,CE DAVID CAPISTRANO
108,2019,9,CONCLUIDA,Dep.neste ano,121193622114,E M LEVI CARNEIRO
108,2022,3,CONCLUIDA,Aprovado,202031860499071,CE GUILHERME BRIGGS
109,2019,9,VALOR DEPOSITADO,Aprovado,121682502278,ESCOLA MUNICIPAL SANTOS DUMONT
109,2020,1,VALOR DEPOSITADO,Aprovado,202031830982149,CE AURELINO LEAL
